State,Candidate,Party,Filing Deadline,Website,Twitter,Facebook,Youtube,Instagram
Alabama,Wes Allen,Republican,1/28/2022,Link,N/A,Link,Link,N/A
Alabama,Christopher Horn,Republican,1/28/2022,N/A,N/A,N/A,N/A,N/A
Alabama,Ed Packard,Republican,1/28/2022,N/A,N/A,N/A,N/A,N/A
Arizona,Reginald Bolding,Democrat,4/4/2022,Link,Link,Link,Link,N/A
Arizona,Adrian Fontes,Democrat,4/4/2022,Link,Link,Link,Link,Link
Arizona,Shawnna Bolick,Republican,4/4/2022,Link,Link,Link,Link,N/A
Arizona,Mark Finchem,Republican,4/4/2022,Link,Link,Link,N/A,Link
Arizona,Beau Lane,Republican,4/4/2022,Link,Link,Link,N/A,N/A
Arizona,Michelle Ugenti-Rita,Republican,4/4/2022,Link,Link,Link,Link,N/A
Arkansas,John Thurston,Republican,3/1/2022,Link,N/A,Link,N/A,N/A
Arkansas,Anna Beth Gorman,Democrat,3/1/2022,N/A,Link,Link,Link,N/A
Arkansas,Joshua Price,Democrat,3/1/2022,Link,Link,Link,N/A,Link
Arkansas,Mark Lowery,Republican,3/1/2022,Link,Link,Link,N/A,Link
Arkansas,Eddie Joe Williams,Republican,3/1/2022,Link,Link,Link,N/A,Link
California,Rachel Hamm,Republican,3/11/2022,Link,Link,Link,N/A,Link
Colorado,Pam Anderson,Republican,3/15/2022,Link,Link,Link,N/A,Link
Colorado,Mike O'Donnell,Republican,,,,,,
Colorado,David Winney,Republican,3/15/2022,Link,N/A,N/A,N/A,N/A
Connecticut,Stephanie Thomas,Democrat,6/7/2022,Link,Link,Link,Link,Link
Connecticut,Hilda Santiago,Democrat,,,,,,
Georgia,Brenda Nelson-Porter,Nonpartisan,3/11/2022,Link,Link,Link,Link,Link
Georgia,John Eaves,Democrat,3/11/2022,Link,Link,Link,Link,Link
Georgia,Floyd Griffin,Democrat,3/11/2022,Link,Link,Link,N/A,N/A
Georgia,Bee Nguyen,Democrat,3/11/2022,Link,Link,Link,Link,Link
Georgia,Michael Owens,Democrat,3/11/2022,Link,Link,Link,N/A,Link
Georgia,Manswell Peterson,Democrat,3/11/2022,Link,N/A,Link,Link,N/A
Georgia,Brad Raffensperger,Republican,3/11/2022,Link,Link,Link,Link,N/A
Georgia,Jody Hice,Republican,3/11/2022,Link,Link,Link,Link,Link
Georgia,Torri M. Hudson,Republican,3/11/2022,Link,Link,Link,N/A,Link
Georgia,David Belle Isle,Republican,3/11/2022,Link,Link,Link,Link,Link
Idaho,Phil McGrane,Republican,,Link,Link,Link,N/A,N/A
Idaho,Dorothy Moon,Republican,,Link,Link,Link,N/A,N/A
Idaho,Mary Souza,Republican,,Link,Link,Link,N/A,Link
Illinois,Alexi Giannoulias,Democrat,,Link,Link,Link,Link,Link
Illinois,David Moore,Democrat,,Link,N/A,N/A,N/A,N/A
Illinois,Anna Valencia,Democrat,,Link,Link,Link,N/A,Link
Illinois,Dan Brady,Republican,,Link,Link,Link,N/A,Link
Illinois,John Milhiser,Republican,,N/A,N/A,N/A,N/A,N/A
Indiana,Holli Sullivan,Republican,,Link,Link,Link,Link,Link
Indiana,Kyle Conrad,Republican,,N/A,N/A,N/A,N/A,N/A
Indiana,Diego Morales,Republican,,Link,Link,Link,Link,Link
Indiana,Jeff Maurer,Libertarian,,Link,Link,Link,Link,Link
Iowa,,,3/18/2022,Link,Link,Link,Link,Link
Kansas,Scott Schwab,Republican,,Link,N/A,Link,Link,N/A
Massachusetts,Rayla Campbell,Republican,,Link,Link,Link,Link,Link
Michigan,Cindy Berry,Republican,,Link,Link,Link,Link,Link
Michigan,Kristina Karamo,Republican,,Link,Link,Link,Link,Link
Michigan,Beau LaFave,Republican,,Link,Link,Link,Link,Link
Michigan,Cathleen Postmus,Republican,,Link,Link,Link,Link,Link
Minnesota,Kim Crockett,Republican,,Link,Link,Link,Link,Link
Minnesota,Steve Simon,Democrat,,,,,,
Nebraska,Bob Evnen,Republican,,Link,Link,Link,Link,Link
Nevada,Jim Marchant,Republican,,Link,Link,Link,Link,Link
Nevada,Cisco Aguilar,Democrat,,,,,,
Nevada,Kristopher Dahir,Republican,,,,,,
Nevada,Gerard Ramalho,Republican,,,,,,
Nevada,Richard Scott,Republican,,,,,,
Nevada,Ellen Spiegel,Democrat,,,,,,
New Mexico,Tracy Tatro Trujillo,Republican,,Link,Link,Link,Link,Link
North Dakota,,,4/11/2022,Link,Link,Link,Link,Link
Ohio,Frank LaRose,Republican,2/2/2022,Link,Link,Link,Link,Link
Ohio,John Adams,Republican,2/2/2022,Link,Link,Link,Link,Link
Rhode Island,Greg Amore,Democrat,,Link,Link,Link,Link,Link
South Carolina,,,,Link,Link,Link,Link,Link
South Dakota,,,,Link,Link,Link,Link,Link
Vermont,Wyatt Pohlen,Democrat,5/26/2022,Link,Link,Link,Link,Link
Washington,Julie Anderson,Nonpartisan,5/20/2022,Link,Link,Link,Link,Link
Washington,Steve Hobbs,Democrat,,,,,,
Washington,Keith Wagoner,Republican,,,,,,
Wisconsin,Dmitry Becker,Republican,6/1/2022,Link,Link,Link,Link,Link
Wisconsin,Jay Schroeder,Republican,6/1/2022,Link,Link,Link,Link,Link
Wisconsin,Neil Harmon,Libertarian,6/1/2022,,,,,
Wisconsin,Amy Loudenbeck,Republican,6/1/2022,,,,,
Wisconsin,Daniel Schmidtka,Republican,6/1/2022,,,,,
Wyoming,,,5/27/2022,Link,Link,Link,Link,Link